appid,name,release_date,release_year,year_range,developer,publisher,free_to_play,virtual_reality_support,singleplayer,multiplayer,windows_support,mac_support,linux_support,required_age,categories,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews,genres,value
252490,Rust,2018-02-08,2018,2016 - 2019,Facepunch Studios,Facepunch Studios,FALSE,FALSE,FALSE,Online + Co-op,TRUE,TRUE,FALSE,18,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Survival;Crafting;Multiplayer,48,Positive,220370,53709,9352,2234,5M to 10M,27.79,274079,Genre4,Massively Multiplayer
252490,Rust,2018-02-08,2018,2016 - 2019,Facepunch Studios,Facepunch Studios,FALSE,FALSE,FALSE,Online + Co-op,TRUE,TRUE,FALSE,18,Multi-player;Online Multi-Player;MMO;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;In-App Purchases;Valve Anti-Cheat enabled;Stats,Survival;Crafting;Multiplayer,48,Positive,220370,53709,9352,2234,5M to 10M,27.79,274079,Genre5,RPG
252950,Rocket League®,2015-07-07,2015,2012 - 2015,"Psyonix, Inc.","Psyonix, Inc.",FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Multiplayer;Racing;Soccer,88,Positive,242561,21816,5825,1462,5M to 10M,14.99,264377,Genre1,Action
252950,Rocket League®,2015-07-07,2015,2012 - 2015,"Psyonix, Inc.","Psyonix, Inc.",FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Multiplayer;Racing;Soccer,88,Positive,242561,21816,5825,1462,5M to 10M,14.99,264377,Genre2,Indie
252950,Rocket League®,2015-07-07,2015,2012 - 2015,"Psyonix, Inc.","Psyonix, Inc.",FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Multiplayer;Racing;Soccer,88,Positive,242561,21816,5825,1462,5M to 10M,14.99,264377,Genre3,Racing
252950,Rocket League®,2015-07-07,2015,2012 - 2015,"Psyonix, Inc.","Psyonix, Inc.",FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Stats,Multiplayer;Racing;Soccer,88,Positive,242561,21816,5825,1462,5M to 10M,14.99,264377,Genre4,Sports
105600,Terraria,2011-05-16,2011,2009 - 2011,Re-Logic,Re-Logic,FALSE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Sandbox;Adventure;Survival,88,Extremely Positive,255600,7797,5585,1840,5M to 10M,6.99,263397,Genre1,Action
105600,Terraria,2011-05-16,2011,2009 - 2011,Re-Logic,Re-Logic,FALSE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Sandbox;Adventure;Survival,88,Extremely Positive,255600,7797,5585,1840,5M to 10M,6.99,263397,Genre2,Adventure
105600,Terraria,2011-05-16,2011,2009 - 2011,Re-Logic,Re-Logic,FALSE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Sandbox;Adventure;Survival,88,Extremely Positive,255600,7797,5585,1840,5M to 10M,6.99,263397,Genre3,Indie
105600,Terraria,2011-05-16,2011,2009 - 2011,Re-Logic,Re-Logic,FALSE,FALSE,TRUE,Online + Co-op,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Sandbox;Adventure;Survival,88,Extremely Positive,255600,7797,5585,1840,5M to 10M,6.99,263397,Genre4,RPG
550,Left 4 Dead 2,2009-11-19,2009,2009 - 2011,Valve,Valve,FALSE,FALSE,TRUE,Co-op multiplayer,TRUE,TRUE,TRUE,0,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Commentary available,Zombies;Co-op;FPS,70,Extremely Positive,251789,8418,1615,566,10M to 20M,7.19,260207,Genre1,Action
