appid,name,release_date,developer,publisher,free_to_play,virtual_reality_support,controller_support,steam_workshop,singleplayer,multiplayer,is_open_world,is_rogue_like,is_metroidvania,is_visual_novel,has_great_soundtrack,is_shooter,is_rpg,has_female_protagonist,is_sports,windows_support,mac_support,linux_support,required_age,categories,genres,steamspy_tags,achievements,general_rating,positive_ratings,negative_ratings,average_playtime,median_playtime,owners,price,total_reviews
313160,Farming Simulator 15,2014-10-30,Giants Software,Giants Software,FALSE,FALSE,No,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Simulation,Simulation;Multiplayer;Open World,16,Positive,10219,1066,1902,2660,500k to 1M,15.49,11285
24740,Burnout Paradise: The Ultimate Box,2009-03-12,Criterion Games,Electronic Arts,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player,Racing,Racing;Open World;Multiplayer,0,Positive,9739,1487,431,576,1M to 2M,9.99,11226
371660,Far Cry® Primal,2016-02-29,Ubisoft,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure,Open World;Survival;Action,0,Positive,8428,2633,949,923,500k to 1M,41.99,11061
233860,Kenshi,2018-12-06,Lo-Fi Games,Lo-Fi Games,FALSE,FALSE,No,TRUE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Workshop;Includes level editor,Action;Indie;RPG;Simulation;Strategy,Open World;Sandbox;RPG,0,Positive,9512,1171,1756,2026,200k to 500k,22.99,10683
41700,S.T.A.L.K.E.R.: Call of Pripyat,2010-02-11,GSC Game World,GSC Game World,FALSE,FALSE,No,FALSE,TRUE,Multiplayer (Unspecified),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Multi-player,Action;RPG,Open World;Atmospheric;Post-apocalyptic,0,Extremely Positive,10172,470,1969,3186,1M to 2M,12.99,10642
12110,Grand Theft Auto: Vice City,2011-01-10,Rockstar Games,Rockstar Games,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Partial Controller Support,Action,Open World;Action;1980s,0,Positive,9817,819,209,93,2M to 5M,5.99,10636
460920,Steep™,2016-12-02,Ubisoft Annecy;Ubisoft Montpellier;Ubisoft Kiev,Ubisoft,FALSE,FALSE,No,FALSE,TRUE,Online only,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,Single-player;Online Multi-Player;Steam Trading Cards;In-App Purchases;Partial Controller Support,Action;Sports,Sports;Open World;Multiplayer,0,Mostly Positive,7802,2603,724,602,500k to 1M,25.99,10405
265550,Dead Rising 3 Apocalypse Edition,2014-09-05,Capcom Game Studio Vancouver,Capcom,FALSE,FALSE,Full,FALSE,TRUE,Co-op multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,18,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Steam Leaderboards,Action,Zombies;Action;Open World,88,Mostly Positive,7251,3060,596,522,500k to 1M,24.99,10311
12200,Bully: Scholarship Edition,2008-10-21,Rockstar New England,Rockstar Games,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Partial Controller Support,Action;Adventure,Open World;Action;Adventure,0,Positive,8504,1764,319,225,1M to 2M,9.99,10268
22320,The Elder Scrolls III: Morrowind® Game of the Year Edition,2009-06-16,Bethesda Game Studios,Bethesda Softworks,FALSE,FALSE,No,FALSE,TRUE,No multiplayer,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,0,Single-player;Steam Cloud,RPG,RPG;Open World;Fantasy,0,Positive,9571,540,1135,1183,1M to 2M,12.99,10111
